hostname,pl_name,st_teff,st_mass,st_rad,st_lum,st_met,st_age,st_spectype,ra,dec,sy_dist,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_orbper,pl_bmasse,pl_rade,pl_dens,pl_eqt
"Kepler-1167","Kepler-1167 b",4971.00,0.790000,0.750000,-0.53589,-0.0500,4.2700,,298.3026595,47.6939654,820.90500000,0.0175000000,0.000000,89.76000,1.00393373900,3.57000000,1.71000000,3.920000,1419.00
"Kepler-1740","Kepler-1740 b",5705.00,0.943000,0.905000,-0.07942,-0.0600,,,293.8736630,38.9224548,1061.77000000,0.0779000000,0.000000,82.80000,8.17240047500,11.00000000,3.32321414,1.650000,858.00
"Kepler-1581","Kepler-1581 b",6022.00,1.120000,1.230000,0.39085,0.0700,4.1700,,287.3713199,39.6036225,493.17500000,0.0686500000,0.000000,89.49000,6.28385491000,0.43700000,0.80000000,4.690000,1108.00
"Kepler-644","Kepler-644 b",6747.00,1.490000,1.810000,0.71041,0.0800,1.6200,,295.4757022,43.4931119,1318.05000000,0.0464100000,0.000000,78.65000,3.17391710300,10.10000000,3.15000000,1.780000,1655.00
"Kepler-1752","Kepler-1752 b",5446.00,0.824000,0.821000,-0.39819,-0.2000,7.2000,,290.8541401,51.2227435,962.88800000,0.2698000000,0.000000,88.46000,56.35850143000,18.70000000,4.54060463,1.100000,419.00
"Kepler-280","Kepler-280 c",5744.00,0.962000,0.886000,-0.06437,0.1213,5.6200,,291.3905325,42.1804735,780.36100000,0.0560000000,0.000000,86.65000,4.80709100000,4.70000000,2.01000000,3.180000,1088.00
"Kepler-1208","Kepler-1208 b",5001.00,0.800000,0.760000,-0.55349,-0.0300,4.4700,,291.8812445,44.5557587,825.17600000,0.0901000000,0.000000,88.44000,11.08507637000,5.99000000,2.32000000,2.640000,665.00
"Kepler-263","Kepler-263 c",5265.00,0.793000,0.785000,-0.45614,-0.0314,2.2400,,292.4698022,37.5677941,754.74700000,0.2420000000,0.000000,89.80000,47.33277300000,6.66000000,2.47000000,2.430000,386.00
"Kepler-1101","Kepler-1101 b",5614.00,0.940000,0.910000,-0.35135,-0.0400,4.2700,,294.5693544,45.6711623,742.47300000,0.3483000000,0.000000,89.99000,81.31510590000,6.66000000,2.47000000,2.430000,393.00
"HD 168746","HD 168746 b",5570.00,1.070000,1.090000,0.04139,-0.0800,8.0000,"G5",275.4573269,-11.9229757,41.56810000,0.0700000000,0.110000,,6.40400000000,85.81410000,11.10000000,0.345000,900.00
"K2-19","K2-19 b",5322.00,0.880000,0.820000,-0.29196,0.0600,8.0000,"G9 V",174.9602543,0.6035960,289.82700000,0.0740000000,0.200000,91.50000,7.92220000000,32.40000000,7.00000000,0.520000,779.00
